sample,ordering,row,transect,sm,land.prod.basic,ndvi,direction,distance ,tree density,grain.g,biomass.g,grain.t.ha,slope,slope deg,aspect,SWF,lon,lat,xcoord ,ycoord
1a-i,1,1,A,4.4,low,0.36,down,4.5,high,324,1225,3.24,Slopping slopes,9.9226522446,North West,no,8.252529312267300,50.396609329412900,446873.2238,5582996.064
1a-I,2,1,A,7.0,high,0.76,up,4.5,high,442,1860,4.42,Slopping slopes,7.0325961113,North West,no,8.252696226583500,50.396625532363200,446885.1052,5582997.746
1a-ii,3,1,A,4.7,low,0.68,down,9,high,289,1097,2.89,Strongly slopping slopes,12.2920322420,North West,no,8.252466719428720,50.396603253245000,446868.7682,5582995.433
1a-II,4,1,A,6.9,high,0.73,up,9,high,487,1966,4.87,Sloppy slopes,5.8294825554,North West,no,8.252758819482060,50.396631608407800,446889.5608,5582998.377
1a-iv,5,1,A,5.0,low,0.58,down,1,high,169,668,1.69,Strongly slopping slopes,10.8215141300,North West,no,8.252577995597510,50.396614055298100,446876.6892,5582996.555
1a-IV,6,1,A,6.5,high,0.76,up,1,high,437,1732,4.37,Slopping slopes,8.2679233551,North West,no,8.252647543229260,50.396620806527400,446881.6398,5582997.256
1b-i,7,1,B,5.1,low,0.75,down,4.5,high,445,1568,4.45,Strongly slopping slopes,12.8794221880,South West,yes,8.252471731920200,50.396851690346200,446869.4022,5583023.053
1b-I,8,1,B,5.7,low,0.80,up,4.5,high,463,1658,4.63,Slopping slopes,8.6905508041,South West,yes,8.252638647021760,50.396867893568500,446881.2836,5583024.736
1b-ii,9,1,B,4.9,low,0.72,down,9,high,365,1561,3.65,Strongly slopping slopes,11.3420991900,South West,yes,8.252409138787110,50.396845614076200,446864.9466,5583022.422
1b-II,10,1,B,6.3,high,0.79,up,9,high,459,1604,4.59,Slopping slopes,7.4271550179,South West,yes,8.252701240214840,50.396873969715300,446885.7392,5583025.367
1b-iv,11,1,B,5.2,low,0.66,down,1,high,224,920,2.24,Slopping slopes,9.7462282181,South West,yes,8.252520415479470,50.396856416310700,446872.8676,5583023.544
1b-IV,12,1,B,5.5,low,0.80,up,1,high,407,1613,4.07,Strongly slopping slopes,10.5098552700,South West,yes,8.252589963438460,50.396863167653400,446877.8182,5583024.245
1c-i,13,1,C,7.2,high,0.79,down,4.5,high,477,1793,4.77,Slopping slopes,7.5970125198,South West,yes,8.252363010802920,50.397309289665800,446862.1865,5583074.012
1c-I,14,1,C,6.4,high,0.69,up,4.5,high,534,2044,5.34,Strongly slopping slopes,10.4498414990,South West,yes,8.252529927438370,50.397325493187200,446874.0679,5583075.694
1c-ii,15,1,C,7.2,high,0.78,down,9,high,319,1474,3.19,Gentle slopes,4.9682736397,South West,no,8.252300417094610,50.397303213283600,446857.7309,5583073.381
1c-II,16,1,C,6.1,high,0.63,up,9,high,380,1428,3.8,Strongly slopping slopes,10.0329132080,South West,no,8.252592521206660,50.397331569446100,446878.5235,5583076.325
1c-iv,17,1,C,7.0,high,0.74,down,1,high,229,960,2.29,Slopping slopes,9.3353948593,South West,yes,8.252411694809570,50.397314015717600,446865.6519,5583074.502
1c-IV,18,1,C,6.7,high,0.78,up,1,high,487,1850,4.87,Slopping slopes,9.2474184036,South West,yes,8.252481243407680,50.397320767184800,446870.6025,5583075.203
1d-i,19,1,D,4.8,low,0.48,down,4.5,high,424,1785,4.24,Strongly slopping slopes,11.1462202070,South West,yes,8.252304902842260,50.397553859632800,446858.33,5583101.247
1d-I,20,1,D,5.0,low,0.59,up,4.5,high,400,1436,4,Slopping slopes,9.7968797684,South West,no,8.252471820326660,50.397570063191600,446870.2114,5583102.929
1d-ii,21,1,D,4.9,low,0.51,down,9,high,344,1619,3.44,Strongly slopping slopes,10.5949468610,South West,yes,8.252242308815600,50.397547783236700,446853.8744,5583100.616
1d-II,22,1,D,5.4,low,0.43,up,9,high,230,933,2.3,Slopping slopes,7.2200212479,South West,no,8.252534414413300,50.397576139464500,446874.667,5583103.56
1d-iv,23,1,D,4.9,low,0.45,down,1,high,277,1341,2.77,Slopping slopes,9.9778690338,South West,no,8.252353587096530,50.397558585695500,446861.7954,5583101.738
1d-IV,24,1,D,4.9,low,0.62,up,1,high,522,1986,5.22,Slopping slopes,9.8409442902,South West,no,8.252423136048360,50.397565337178300,446866.746,5583102.439
2a-i,25,2,A,7.1,high,0.80,down,4.5,high,573,2015,5.73,Gentle slopes,4.9334936142,North West,no,8.252785976054440,50.396785691605900,446891.6631,5583015.49
2a-I,26,2,A,6.8,high,0.79,up,4.5,high,413,1617,4.13,Sloppy slopes,5.3696322441,South West,no,8.252952889845990,50.396801899387200,446903.5445,5583017.173
2a-ii,27,2,A,6.4,high,0.77,down,9,high,353,1398,3.53,Sloppy slopes,6.8026909828,North West,no,8.252723383412600,50.396779613626300,446887.2076,5583014.859
2a-II,28,2,A,6.7,high,0.80,up,9,high,399,1787,3.99,Gentle slopes,4.6336450577,North West,no,8.253015482547820,50.396807977243500,446908,5583017.804
2a-iv,29,2,A,7.0,high,0.77,down,1,high,431,1647,4.31,Gentle slopes,4.4181203842,North West,no,8.252834659231620,50.396790418900100,446895.1285,5583015.981
